message,love,neutral,hate
I'm not looking for anything serious right now,0,0,1
I don't think we have much in common,0,0,1
I'm just not feeling a connection,0,0,1
I think we're better off as friends,0,0,1
I'm seeing someone else,0,0,1
I don't think we're a good match,0,0,1
I'm not really looking to date right now,0,0,1
I'm not interested in pursuing anything further,0,0,1
I think we should just be friends,0,0,1
"I'm sorry, I think I gave you the wrong impression",0,0,1
I'm really focused on my career right now,0,0,1
I'm not ready for a relationship,0,0,1
I don't see you that way,0,0,1
"I'm sorry, but I don't see this going anywhere",0,0,1
I'm not feeling a connection between us,0,0,1
I'm not really feeling it with you,0,0,1
I don't think it's a good idea for us to date,0,0,1
I don't think we have enough in common to pursue anything more,0,0,1
I think it's best if we keep things platonic,0,0,1
I don't think we're compatible for a romantic relationship,0,0,1
I'm not interested in pursuing anything more than friendship with you,0,0,1
"I'm sorry, but I don't feel the same way",0,0,1
Ew you are disgusting,0,0,1
Don't talk to me ever again,0,0,1
Haha thanks brother,0,0,1
Haha thanks sister,0,0,1
Thanks bro!,0,0,1
Thanks sis!,0,0,1
Why are you like this bro,0,0,1
Nah man,0,0,1
Bro,0,0,1
Sis,0,0,1
You remind me of my brother haha,0,0,1
Nah sis,0,0,1
You remind me of my sister!,0,0,1
"Whoops, was meant to send that to my boyfriend. Sorry!",0,0,1
"Whoops, was meant to send that to my girlfriend. Sorry!",0,0,1
"This isn't working for me, can we stay as friends?",0,0,1
You are a really good friend,0,0,1
"If only there was a guy like you, that is not you :(",0,0,1
Hahah that is so funny! I am going to tell my boyfriend about it,0,0,1
Thanks man,0,0,1
Hey man,0,0,1
Hey sis,0,0,1
Haha,0,0,1
I value our friendship too much,0,0,1
"I love you, bro",0,0,1
You’re like a sibling to me,0,0,1
I want to explore my options,0,0,1
You’re too nice for me,0,0,1
I’m so happy we’re best friends,0,0,1
You’re going to make someone very happy,0,0,1
You should go for them,0,0,1
"I’ve invited some of the guys to our hangout on Saturday night. That’s cool with you, right?",0,0,1
This feels like the beginning of an amazing friendship,0,0,1
Get back into that friendzone you just tried to escape from,0,0,1
I can just tell we’re going to be friends for life,0,0,1
Can I introduce you to my friend? I think the two of you might really hit it off,0,0,1
"Don’t get me wrong, you’re the most important guy in my life, but the thought of us being anything more than friends makes me feel weird",0,0,1
It would be alright for my friend to come for our get together tomorrow right?,0,0,1
